category,key,value,Rings_Won
Kobe Bryant,assist,4.76,5
Kobe Bryant,net_rating,2.6,5
Kobe Bryant,points,24.2,5
Kobe Bryant,rebound,5.2,5
Kobe Bryant,true_shooting_pct,0.5432,5
Kobe Bryant,usage_pct,0.3116,5
Lebron James,assist,7.368421053,4
Lebron James,net_rating,6.7,4
Lebron James,points,27.11052632,4
Lebron James,rebound,7.5,4
Lebron James,true_shooting_pct,0.589684211,4
Lebron James,usage_pct,0.312947368,4
Michael Jordan,assist,4.2,6
Michael Jordan,net_rating,5.4,6
Michael Jordan,points,25.3,6
Michael Jordan,rebound,5.875,6
Michael Jordan,true_shooting_pct,0.51475,6
Michael Jordan,usage_pct,0.329,6
